Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link,salary_clean,salary_norm,exp_clean,exp_norm,location_clean,loc_mumbai,loc_bengaluru,loc_pune,loc_hyderabad,loc_gurugram,loc_chennai,loc_kolkata,loc_coimbatore,loc_noida,loc_ahmedabad
Infogain India is hiring For C# API Automation (SDET),Infogain,3-5 Yrs,Not disclosed,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","3+ years in API automation testing and development, strong skills in Selenium and C#|Co...","sdet,integration testing,automation testing,api development,c#,nunit,azure cloud,cloud",Few Hours Ago,https://www.naukri.com/job-listings-infogain-india-is-hiring-for-c-api-automation-sdet-infogain-pune-bengaluru-mumbai-all-areas-3-to-5-years-171224013415,12.218579234972678,0.19549726775956283,4.0,0.16,pune,0,0,1,0,0,0,0,0,0,0
Director - Senior India Coverage Banker,Deutsche Bank,12-14 Yrs,Not disclosed,"Mumbai, Pune, Bengaluru","Education. Chartered Accountant, CFA or an MBA from a globally recognized institute pre...","client relationship management,credit risk management,capital market transactions,cash management,risk management,credit,capital market,code coverage",7 Days Ago,https://www.naukri.com/job-listings-director-senior-india-coverage-banker-deutsche-bank-ag-mumbai-pune-bengaluru-12-to-14-years-121224906528,12.218579234972678,0.19549726775956283,13.0,0.52,mumbai,1,0,0,0,0,0,0,0,0,0
Oracle Fusion SCM Functional Lead,Oracle,8-13 Yrs,18-33 Lacs PA (Including Variable: 15.0%),"Hybrid - Kolkata, Mumbai, Gandhinagar, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Thiruvananthapuram",Bachelor's in Engineering or MBA with 5-10 years in EBS/Cloud implementations; SCM func...,"fusion scm,scm cloud,mfg,order to cash,planning,om,functional,cloud",3 Days Ago,https://www.naukri.com/job-listings-oracle-fusion-scm-functional-lead-oracle-kolkata-mumbai-gandhinagar-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-thiruvananthapuram-8-to-13-years-270723006137,25.5,0.408,10.5,0.42,kolkata,0,0,0,0,0,0,1,0,0,0
R&R FS -Java Developer-Associate,Pricewaterhouse Coopers Private Limited,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad, Gurugram, Bengaluru","Banking and Capital Markets Specialism Data, Analytics & AI Management Le...","data analysis,business analysis,data modeling,analytical,consulting,data collection,risk management,data mining",1 Day Ago,https://www.naukri.com/job-listings-r-r-fs-java-developer-associate-pricewaterhouse-coopers-private-limited-kolkata-mumbai-hyderabad-gurugram-bengaluru-3-to-5-years-181224505818,12.218579234972678,0.19549726775956283,4.0,0.16,kolkata,0,0,0,0,0,0,1,0,0,0
GN - Strategy - MC - T&O - Change Management - Consultant,Accenture,4-8 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",Qualifications . Bring your best skills forward to excel in the role: MBA / Masters deg...,"change management,successfactors,impact analysis,peoplesoft,taleo,change,consulting,impact",1 Day Ago,https://www.naukri.com/job-listings-gn-strategy-mc-t-o-change-management-consultant-accenture-solutions-pvt-ltd-mumbai-gurugram-bengaluru-4-to-8-years-181224919028,12.218579234972678,0.19549726775956283,6.0,0.24,mumbai,1,0,0,0,0,0,0,0,0,0
Autosar Security VIP : Mumbai / Bangalore Location : 8 To 12Yrs,Capgemini,8-12 Yrs,25-37.5 Lacs PA,"Hybrid - Bengaluru, Mumbai (All Areas)",Senior Engineer - AUTOSAR Security VIP : . 1) 10+ Years of experience in Automotive dom...,"bsw configuration,autosar,secure diagnostics,secure flashing,automotive domain,c++,hsm,c",1 Day Ago,https://www.naukri.com/job-listings-autosar-security-vip-mumbai-bangalore-location-8-to-12yrs-capgemini-bengaluru-mumbai-all-areas-8-to-12-years-181224011225,31.25,0.5,10.0,0.4,bengaluru,0,1,0,0,0,0,0,0,0,0
Marine Numerical Modelling Specialist (Location - Flexible),Jacobs,5-10 Yrs,Not disclosed,"Hybrid - Kolkata, Delhi / NCR, Mumbai (All Areas)","Jacobs is a global provider of technical, professional, and scientific services includ...","marine,maritime,port,numerical,modeling,flexible",Few Hours Ago,https://www.naukri.com/job-listings-marine-numerical-modelling-specialist-location-flexible-jacobs-kolkata-delhi-ncr-mumbai-all-areas-5-to-10-years-191224011361,12.218579234972678,0.19549726775956283,7.5,0.3,kolkata,0,0,0,0,0,0,1,0,0,0
Consultant - Assurance - FS - ASU - TR - Technology Risk,EY,4-6 Yrs,Not disclosed,Mumbai,"Qualification . CA, BE, Btech, MCA, BCA, B.com, M.com with 4-6 years of experience . CI...","assurance,data migration,sap,us gaap,cisa,external audit,technology risk,manager technology",1 Day Ago,https://www.naukri.com/job-listings-consultant-assurance-fs-asu-tr-technology-risk-ernst-young-mumbai-4-to-6-years-181224505764,12.218579234972678,0.19549726775956283,5.0,0.2,mumbai,1,0,0,0,0,0,0,0,0,0
Pyspark Developer,Cognizant,4-8 Yrs,Not disclosed,"Hyderabad, Pune, Bangalore Rural","Develop high-quality code in Python using Sparks APIs (e.g., Dataframe, Dataset) and Hi...","pyspark,hive,spark,development",Few Hours Ago,https://www.naukri.com/job-listings-pyspark-developer-cognizant-hyderabad-pune-bangalore-rural-4-to-8-years-191224011149,12.218579234972678,0.19549726775956283,6.0,0.24,hyderabad,0,0,0,1,0,0,0,0,0,0
"Java Developer - Bangalore, Pune, Hyderabad, Nagpur",Tech Mahindra,5-10 Yrs,6-16 Lacs PA,"Hybrid - Hyderabad, Pune, Bangalore Rural","Skills: Java 1.8, Microservices, Spring bootLocation: BLR, Pune, HYD, NagpurExperience:...","java 1.8,springboot,microservices,bootstrap,j2ee,spring boot,java,development",Few Hours Ago,https://www.naukri.com/job-listings-java-developer-bangalore-pune-hyderabad-nagpur-tech-mahindra-hyderabad-pune-bangalore-rural-5-to-10-years-191224009348,11.0,0.176,7.5,0.3,hyderabad,0,0,0,1,0,0,0,0,0,0
