Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link
Infogain India is hiring For C# API Automation (SDET),Infogain,3-5 Yrs,Not disclosed,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","3+ years in API automation testing and development, strong skills in Selenium and C#|Co...","SDET, Integration testing, Automation Testing, API Development, C#, NUnit, Azure Cloud, Cloud",Few Hours Ago,https://www.naukri.com/job-listings-infogain-india-is-hiring-for-c-api-automation-sdet-infogain-pune-bengaluru-mumbai-all-areas-3-to-5-years-171224013415
Director - Senior India Coverage Banker,Deutsche Bank,12-14 Yrs,Not disclosed,"Mumbai, Pune, Bengaluru","Education. Chartered Accountant, CFA or an MBA from a globally recognized institute pre...","client relationship management, Credit Risk Management, Capital Market transactions, Cash Management, Risk Management, Credit, Capital market, Code Coverage",7 Days Ago,https://www.naukri.com/job-listings-director-senior-india-coverage-banker-deutsche-bank-ag-mumbai-pune-bengaluru-12-to-14-years-121224906528
Oracle Fusion SCM Functional Lead,Oracle,8-13 Yrs,18-33 Lacs PA (Including Variable: 15.0%),"Hybrid - Kolkata, Mumbai, Gandhinagar, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Thiruvananthapuram",Bachelor's in Engineering or MBA with 5-10 years in EBS/Cloud implementations; SCM func...,"Fusion Scm, Scm Cloud, MFG, Order To Cash, Planning, OM, Functional, Cloud",3 Days Ago,https://www.naukri.com/job-listings-oracle-fusion-scm-functional-lead-oracle-kolkata-mumbai-gandhinagar-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-thiruvananthapuram-8-to-13-years-270723006137
R&R FS -Java Developer-Associate,Pricewaterhouse Coopers Private Limited,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad, Gurugram, Bengaluru","Banking and Capital Markets Specialism Data, Analytics & AI Management Le...","Data analysis, Business analysis, Data modeling, Analytical, Consulting, Data collection, Risk management, Data mining",1 Day Ago,https://www.naukri.com/job-listings-r-r-fs-java-developer-associate-pricewaterhouse-coopers-private-limited-kolkata-mumbai-hyderabad-gurugram-bengaluru-3-to-5-years-181224505818
GN - Strategy - MC - T&O - Change Management - Consultant,Accenture,4-8 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",Qualifications . Bring your best skills forward to excel in the role: MBA / Masters deg...,"Change Management, SuccessFactors, Impact Analysis, Peoplesoft, taleo, Change, Consulting, Impact",1 Day Ago,https://www.naukri.com/job-listings-gn-strategy-mc-t-o-change-management-consultant-accenture-solutions-pvt-ltd-mumbai-gurugram-bengaluru-4-to-8-years-181224919028
Autosar Security VIP : Mumbai / Bangalore Location : 8 To 12Yrs,Capgemini,8-12 Yrs,25-37.5 Lacs PA,"Hybrid - Bengaluru, Mumbai (All Areas)",Senior Engineer - AUTOSAR Security VIP : . 1) 10+ Years of experience in Automotive dom...,"BSW configuration, AUTOSAR, Secure Diagnostics, Secure flashing, Automotive domain, C++, HSM, C",1 Day Ago,https://www.naukri.com/job-listings-autosar-security-vip-mumbai-bangalore-location-8-to-12yrs-capgemini-bengaluru-mumbai-all-areas-8-to-12-years-181224011225
Marine Numerical Modelling Specialist (Location - Flexible),Jacobs,5-10 Yrs,Not disclosed,"Hybrid - Kolkata, Delhi / NCR, Mumbai (All Areas)","Jacobs is a global provider of technical, professional, and scientific services includ...","Marine, Maritime, Port, Numerical, Modeling, Flexible",Few Hours Ago,https://www.naukri.com/job-listings-marine-numerical-modelling-specialist-location-flexible-jacobs-kolkata-delhi-ncr-mumbai-all-areas-5-to-10-years-191224011361
Consultant - Assurance - FS - ASU - TR - Technology Risk,EY,4-6 Yrs,Not disclosed,Mumbai,"Qualification . CA, BE, Btech, MCA, BCA, B.com, M.com with 4-6 years of experience . CI...","Assurance, Data migration, SAP, US GAAP, Cisa, External audit, technology risk, Manager Technology",1 Day Ago,https://www.naukri.com/job-listings-consultant-assurance-fs-asu-tr-technology-risk-ernst-young-mumbai-4-to-6-years-181224505764
Pyspark Developer,Cognizant,4-8 Yrs,Not disclosed,"Hyderabad, Pune, Bangalore Rural","Develop high-quality code in Python using Sparks APIs (e.g., Dataframe, Dataset) and Hi...","Pyspark, Hive, Spark, Development",Few Hours Ago,https://www.naukri.com/job-listings-pyspark-developer-cognizant-hyderabad-pune-bangalore-rural-4-to-8-years-191224011149
"Java Developer - Bangalore, Pune, Hyderabad, Nagpur",Tech Mahindra,5-10 Yrs,6-16 Lacs PA,"Hybrid - Hyderabad, Pune, Bangalore Rural","Skills: Java 1.8, Microservices, Spring bootLocation: BLR, Pune, HYD, NagpurExperience:...","Java 1.8, Springboot, Microservices, Bootstrap, J2Ee, Spring Boot, Java, Development",Few Hours Ago,https://www.naukri.com/job-listings-java-developer-bangalore-pune-hyderabad-nagpur-tech-mahindra-hyderabad-pune-bangalore-rural-5-to-10-years-191224009348
